"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ARI",2016-12-21,1,60,60.2,35.62,24.58,62.83,60.2,35.62,0.65,2.08,-1.44,23.7,0.65,2.08,2.67,1.19,1.47,69.1,2.67,1.19,10,10,0,2.21,88.67,90.88
"ARI",2016-12-23,1,60,64.26,56.99,7.27,53,64.26,56.99,1.16,3.13,-1.97,27,1.16,3.13,2.78,2.44,0.34,53.24,2.78,2.44,1,4,3,4.37,90.62,94.99
"ARI",2016-12-27,1,60,55.8,50.7,5.1,52.39,55.8,50.7,1.61,3.06,-1.45,34.43,1.61,3.06,3.17,2.5,0.67,55.94,3.17,2.5,4,5,1,5.12,89.82,94.94
"ARI",2016-12-29,1,60,44.83,48.07,-3.24,48.26,44.83,48.07,2.35,2.76,-0.41,46.04,2.35,2.76,1.29,3.31,-2.02,27.99,1.29,3.31,7,3,-4,13.45,89.83,103.29
"ARI",2016-12-31,1,60,41.72,54.01,-12.29,43.58,41.72,54.01,1.86,2.97,-1.12,38.44,1.86,2.97,2.26,1.5,0.76,60.13,2.26,1.5,6,5,-1,8.61,88.37,96.98
"ARI",2017-01-04,1,60,36.62,48.09,-11.47,43.23,36.62,48.09,0,3,-3,0,0,3,1.24,2.29,-1.05,35.18,1.24,2.29,3,2,-1,0,87.28,87.28
"ARI",2017-01-06,1,64.4,37.95,62.66,-24.71,37.72,35.36,58.38,1.34,2.43,-1.09,35.5,1.25,2.26,1.42,3.39,-1.97,29.55,1.33,3.16,3,2,-1,6.37,92.34,98.72
"ARI",2017-01-07,1,65,68.74,48.55,20.19,58.61,63.45,44.81,0.82,0.79,0.03,50.91,0.76,0.73,2.87,1.69,1.18,62.93,2.65,1.56,4,2,-2,3.57,96.45,100.02
"ARI",2017-01-13,1,60,46.27,44.52,1.75,50.96,46.27,44.52,3.87,2.13,1.74,64.48,3.87,2.13,1.95,1.53,0.42,56.02,1.95,1.53,2,3,1,14.13,92.55,106.68
"ARI",2017-01-14,1,60,56.78,38.27,18.51,59.74,56.78,38.27,0,2.16,-2.16,0,0,2.16,1.98,1.56,0.42,55.97,1.98,1.56,2,3,1,0,89.54,89.54
