"","Player","Date","Team","Position","TOI","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF"
"1313","RYAN.ELLIS","2017-04-20","NSH","D",21.39,1,0,0,0,0,0,0,0,1,0,0,2,2,4,2.81,0,0,0,NA,0,NA,1
"1314","RYAN.ELLIS","2017-04-17","NSH","D",24.72,6,3,2,0.08,0,0,0,1,0,2,0,1,0,1,14.56,7.28,4.85,0.19,2.6,0,NA,-1
"1315","RYAN.ELLIS","2017-04-15","NSH","D",19.35,10,4,3,0.12,0,0,0,0,0,4,2,1,0,1,31.01,12.4,9.3,0.38,3.03,0,NA,0
"1316","RYAN.ELLIS","2017-04-13","NSH","D",22.24,3,3,3,0.15,0,0,0,0,0,2,2,2,0,2,8.09,8.09,8.09,0.4,4.94,0,NA,0
"1317","RYAN.GETZLAF","2017-04-26","ANA","C",15.24,5,4,1,0.23,1,7,7,0,0,3,1,0,1,3,19.69,15.75,3.94,0.91,5.8,3.94,0.5,0
"1318","RYAN.GETZLAF","2017-04-19","ANA","C",17.25,0,0,0,0,0,5,6,0,0,0,4,0,1,0,0,0,0,0,NA,0,0.45,0
"1319","RYAN.GETZLAF","2017-04-17","ANA","C",18.3,2,1,1,0.04,0,5,9,0,0,0,1,0,0,2,6.56,3.28,3.28,0.13,4.03,0,0.36,0
"1320","RYAN.GETZLAF","2017-04-15","ANA","C",13.81,2,1,1,0.07,0,9,2,1,0,3,1,2,0,0,8.69,4.34,4.34,0.32,7.3,0,0.82,-1
"1321","RYAN.GETZLAF","2017-04-13","ANA","C",13.31,3,3,3,0.18,1,10,7,0,1,3,0,1,2,1,13.52,13.52,13.52,0.81,6.01,4.51,0.59,1
"1322","RYAN.HARTMAN","2017-04-20","CHI","R",11.63,7,6,4,0.37,2,0,0,0,0,1,0,0,0,0,36.11,30.95,20.64,1.9,6.13,10.32,NA,0
"1323","RYAN.HARTMAN","2017-04-17","CHI","R",8.24,2,2,1,0.11,0,1,0,0,0,0,3,2,0,1,14.56,14.56,7.28,0.78,5.33,0,1,0
"1324","RYAN.HARTMAN","2017-04-15","CHI","R",11.02,0,0,0,0,0,1,0,0,0,3,5,1,0,0,0,0,0,0,NA,0,1,0
"1325","RYAN.HARTMAN","2017-04-13","CHI","R",14.86,2,2,1,0.09,0,0,1,1,0,3,7,1,0,1,8.08,8.08,4.04,0.35,4.3,0,0,-1
"1326","RYAN.JOHANSEN","2017-04-26","NSH","C",14.49,1,1,0,0.04,0,5,9,0,0,1,0,0,0,1,4.14,4.14,0,0.15,3.73,0,0.36,0
"1327","RYAN.JOHANSEN","2017-04-20","NSH","C",13.37,1,1,0,0.04,0,10,4,0,0,2,0,1,1,0,4.49,4.49,0,0.2,4.48,0,0.71,0
"1328","RYAN.JOHANSEN","2017-04-17","NSH","C",21.47,1,1,0,0.13,1,14,10,0,0,3,1,1,1,0,2.79,2.79,0,0.37,13.37,2.79,0.58,0
"1329","RYAN.JOHANSEN","2017-04-15","NSH","C",14.85,1,1,1,0.36,1,11,8,0,0,0,1,0,2,1,4.04,4.04,4.04,1.45,35.87,4.04,0.58,0
"1330","RYAN.JOHANSEN","2017-04-13","NSH","C",16.01,1,1,1,0.17,1,11,7,1,0,2,0,0,0,1,3.75,3.75,3.75,0.65,17.43,3.75,0.61,-1
"1331","RYAN.KESLER","2017-04-26","ANA","C",14.91,1,1,0,0.05,0,7,8,1,0,1,0,0,0,2,4.02,4.02,0,0.19,4.76,0,0.47,-1
"1332","RYAN.KESLER","2017-04-19","ANA","C",11.14,4,1,0,0.04,0,1,7,1,0,1,2,0,2,0,21.54,5.39,0,0.22,4.03,0,0.12,-1
"1333","RYAN.KESLER","2017-04-17","ANA","C",13.78,3,2,2,0.08,0,10,11,0,0,0,1,0,0,1,13.06,8.71,8.71,0.35,3.98,0,0.48,0
"1334","RYAN.KESLER","2017-04-15","ANA","C",11.88,1,0,0,0,0,7,7,0,1,0,3,1,0,0,5.05,0,0,0,NA,0,0.5,1
"1335","RYAN.KESLER","2017-04-13","ANA","C",11.95,3,3,2,0.29,1,7,4,1,0,2,3,0,0,1,15.06,15.06,10.04,1.45,9.65,5.02,0.64,-1
"1336","RYAN.MCDONAGH","2017-04-27","NYR","D",21.25,1,0,0,0,0,0,0,0,0,3,1,2,0,5,2.82,0,0,0,NA,0,NA,0
